	מועד המשחק	מארחת	אורחת	שעה	כמות ביטויי רגשות שליליים. 3 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 0-24 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 24-48 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 48-72 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 72-96 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 96-130 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 130-154 שעות לפני המשחק	כמות ביטויי רגשות שליליים. 154-178 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 3 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 0-24 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 24-48 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 48-72 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 72-96 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 96-130 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 130-154 שעות לפני המשחק	כמות לייקים לרגשות שליליים. 154-178 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 3 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 0-24 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 24-48 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 48-72 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 72-96 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 96-130 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 130-154 שעות לפני המשחק	כמות ביטויי רגשות חיוביים. 154-178 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 3 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 0-24 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 24-48 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 48-72 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 72-96 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 96-130 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 130-154 שעות לפני המשחק	כמות לייקים לרגשות חיוביים. 154-178 שעות לפני המשחק	כמות ביטויי דרמטיזציה. 3 שעות לפני המשחק.	כמות ביטויי דרמטיזציה. 0-24 שעות לפני המשחק	כמות ביטויי דרמטיזציה. 24-48 שעות לפני המשחק	כמות ביטויי דרמטיזציה. 48-72 שעות לפני המשחק	כמות ביטויי דרמטיזציה. 72-96 שעות לפני המשחק	כמות ביטויי דרמטיזציה. 96-130 שעות לפני המשחק	כמות ביטויי דרמטיזציה. 130-154 שעות לפני המשחק	כמות דרמטיזציה. 154-178 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 3 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 0-24 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 24-48 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 48-72 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 72-96 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 96-130 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 130-154 שעות לפני המשחק	כמות לייקים לביטויי דרמטיזציה. 154-178 שעות לפני המשחק	כמות ביטויי התארגנות. 3 שעות לפני המשחק	כמות ביטויי התארגנות. 0-24 שעות לפני המשחק	כמות ביטויי התארגנות. 24-48 שעות לפני המשחק	כמות ביטויי התארגנות. 48-72 שעות לפני המשחק	כמות ביטויי התארגנות. 72-96 שעות לפני המשחק.	כמות ביטויי התארגנות. 96-130 שעות לפני המשחק	כמות ביטויי התארגנות. 130-154 שעות לפני המשחק	כמות ביטויי התארגנות. 154-178 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 3 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 0-24 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 24-48 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 48-72 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 72-96 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 96-130 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 130-154 שעות לפני המשחק	כמות לייקים לביטויי התארגנות. 154-178 שעות לפני המשחק	Unnamed: 68	כמות ביטויי אלימות מילולית. 3 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 0-24 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 24-48 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 48-72 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 72-96 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 96-130 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 130- 154 שעות לפני המשחק	כמות ביטויי אלימות מילולית. 154-178 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 3 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית 0-24 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 24-48 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 48-72 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 72-96 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 96-130 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 130-154 שעות לפני המשחק	כמות לייקים לביטויי אלימות מילולית. 154-178 שעות לפני המשחק	כמות ביטויי קללות. 3 שעות לפני המשחק	כמות ביטויי קללות. 0-24 שעות לפני המשחק	כמות ביטויי קללות. 24-48 שעות לפני המשחק	כמות ביטויי קללות. 48-72 שעות לפני המשחק	כמות ביטויי קללות. 72-96 שעות לפני המשחק	כמות ביטויי קללות. 96-130. שעות לפני המשחק	כמות ביטויי קללות. 130-154 שעות לפני המשחק	כמות ביטויי קללות. 154-178 שעות לפני המשחק	כמות לייקים לביטויי קללות. 3 שעות לפני המשחק	כמות לייקים לביטויי קללות. 0-24 שעות לפני המשחק	כמות לייקים לביטויי קללות. 24-48 שעות לפני המשחק	כמות לייקים לביטויי קללות. 48-72 שעות לפני המשחק	כמות לייקים לביטויי קללות. 72-96 שעות לפני המשחק	כמות לייקים לביטויי קללות. 96-130 שעות לפני המשחק	כמות לייקים לביטויי קללות. 130-154 שעות לפני המשחק	כמות לייקים לביטויי קללות. 154-178 שעות לפני המשחק
0	19.8.17	הפועל חיפה	הפועל אשקלון	19:15:00	1	1	0	1	0	0	0	1	1	0	0	2	0	0	0	0	1	8	0	0	1	2	5	4	1	2	0	0	0	0	4	0	1	11	0	2	3	4	18	1	1	5	0	2	0	2	18	0	1	4	0	1	1	1	1	0	1	1	0	0	0	1	0	0		1	4	0	0	0	1	0	0	1	3	0	0	0	0	0	0	2	2	0	1	0	3	13	1	2	2	0	0	0	1	16	0
1	26.8.17	מכבי פתח תקווה	הפועל חיפה	20:30:00	0	0	0	1	0	1	1	1	0	0	0	1	0	3	0	1	0	16	8	12	8	1	4	4	0	0	1	7	4	0	7	0	0	11	6	3	3	3	9	6	0	1	0	4	0	4	11	9	0	3	3	2	2	1	1	6	0	1	0	1	3	0	4	9		0	5	2	1	2	2	6	1	0	1	0	1	0	0	1	0	0	5	3	9	3	5	8	5	0	0	2	5	1	5	10	1
2	9.9.17	הפועל חיפה	בני יהודה	19:15:00	0	1	0	0	1	1	0	0	0	1	0	0	0	4	0	0	5	14	24	2	9	9	1	0	5	4	5	1	0	3	2	0	1	8	8	5	10	5	1	0	1	3	1	6	0	0	2	0	0	5	0	2	1	1	0	0	0	2	0	1	0	0	0	0		1	3	3	1	2	1	0	0	1	1	1	3	0	4	0	0	0	4	3	2	0	1	1	0	0	3	0	4	0	1	2	0
3	16.9.17	ביתר ירושלים	הפועל חיפה	20:30:00	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	56	7	10	4	0	1	2	6	25	1	8	10	0	0	0	2	40	6	18	2	0	0	2	2	8	3	4	3	0	0	0	0	9	2	11	1	1	0	0	0	2	3	5	1	0	0	0		1	7	0	5	1	0	1	1	1	0	0	0	0	0	0	0	0	9	5	5	1	0	0	1	0	1	2	3	0	0	0	0
4	23.9.17	הפועל חיפה	הפועל באר שבע	20:30:00	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	1	10	2	6	21	3	2	0	0	3	2	8	2	1	11	0	2	4	2	3	8	1	8	0	0	2	2	8	1	1	5	0	0	2	2	3	1	1	7	0	0	1	2	9	0		0	1	0	0	1	2	4	4	0	0	0	0	0	2	9	1	1	4	0	3	4	2	3	5	1	4	0	0	1	2	9	1
5	1.10.17	עירוני קריית שמונה	הפועל חיפה	19:00:00	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	22	27	0	2	37	1	3	14	22	2	0	0	10	2	0	2	9	12	0	1	21	2	3	7	9	1	0	0	6	2	3	1	2	2	0	1	7	1	2	2	2	0	0	0	4	0	3	0		7	4	0	0	9	2	0	3	7	0	0	0	4	2	0	2	4	5	0	1	9	1	1	1	4	2	0	0	0	0	0	1
6	14.10.17	הפועל חיפה	הפועל עכו	18:30:00	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	13	18	1	0	4	1	2	0	13	34	3	0	0	0	7	0	9	7	1	0	1	1	3	0	9	30	3	0	1	0	6	0	1	3	1	0	1	0	3	0	1	0	3	0	0	0	6	0		2	6	1	0	0	0	1	0	2	31	3	0	0	0	6	0	2	1	1	0	0	0	1	0	2	0	3	0	0	0	0	0
7	22.10.17	בני סכנין	הפועל חיפה	20:15:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	30	2	10	0	0	2	5	2	21	0	0	0	0	1	0	4	8	1	3	0	0	1	5	4	0	0	1	0	0	1	0	2	6	0	0	0	0	1	2	2	0	0	0	0	0	1	0		0	4	0	1	0	0	1	4	0	2	0	0	0	0	1	0	1	4	0	3	0	0	1	1	1	8	0	0	0	0	1	0
8	28.10.17	הפועל חיפה	הפועל רעננה	18:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	5	2	0	34	7	4	2	0	4	1	0	22	0	2	1	2	0	1	0	12	4	2	0	1	0	0	0	1	0	1	0	0	0	0	0	5	3	1	0	0	0	0	0	1	0		0	2	1	1	1	0	4	2	0	0	0	15	0	0	2	0	1	0	1	1	1	0	4	2	1	0	0	0	0	0	9	0
9	4.11.17	מכבי נתניה	הפועל חיפה	18:15:00	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8
10	26.11.17	הפועל חיפה	מכבי תל אביב	20:15:00	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
11	4.12.17	הפועל חיפה	מכבי חיפה 	21:00:00	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	16	8	6	9	0	0	3	0	16	5	3	7	0	0	0	0	6	5	4	8	0	0	3	0	6	3	0	10	0	0	2	0	1	2	2	8	0	0	1	0	1	0	0	7	0	0	1	0		3	1	1	4	0	0	1	0	3	1	0	7	0	0	0	0	5	4	3	6	0	2	1	0	5	2	0	6	0	0	1	0
12	9.12.17	מ.ס. אשדוד	הפועל חיפה	16:00:00	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	2	7	2	2	1	25	5	9	2	0	0	0	2	27	2	4	2	6	2	3	1	12	5	5	2	1	0	1	2	4	3	0	1	3	0	2	0	3	2	4	1	0	0	1	0	0	0	0		1	2	0	1	0	4	0	1	1	0	0	0	0	5	0	0	1	3	2	2	2	6	4	5	1	1	0	0	2	3	2	2
13	16.12.17	הפועל אשקלון	הפועל חיפה	18:15:00	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
14	23.12.17	הפועל חיפה	מכבי פתח תקווה	18:15:00	0	2	0	1	0	1	0	3	0	0	0	0	0	0	0	1	7	10	1	4	10	8	9	10	7	1	0	5	10	26	3	8	3	5	1	10	9	6	11	6	3	0	0	13	8	3	6	6	2	1	0	1	5	2	1	5	2	0	0	0	3	0	1	4		0	0	0	3	1	1	1	3	0	0	0	7	1	1	2	1	2	2	0	5	6	3	5	4	2	0	0	6	6	17	4	2
15	30.12.17	בני יהודה	הפועל חיפה	16:00:00	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	10	10	0	0	0	3	10	4	3	2	0	0	0	2	7	2	1	3	0	0	0	4	5	2	0	0	0	0	0	8	3	3	1	1	0	0	1	2	3	3	0	0	0	0	0	2	2		1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	3	1	0	0	0	4	4	0	3	0	0	0	0	4	3
16	8.1.18	הפועל חיפה	"בית""ר ירושלים"	20:30:00	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	9	3	4	42	14	11	0	1	3	0	0	6	2	0	0	6	9	7	3	29	6	0	2	6	6	2	0	11	1	0	0	1	1	3	0	5	4	2	1	1	1	3	0	1	1	0	0		2	3	2	0	9	4	1	1	2	2	0	0	3	2	0	0	5	2	2	0	16	2	0	1	5	2	2	0	3	0	0	0
17	14.1.18	הפועל באר שבע	הפועל חיפה	20:30:00	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0	0	0	4	1	6	9	0	0	0	0	1	0	5	3	0	0	0	0	3	1	12	9	0	0	0	0	0	0	33	6	0	0	0	0	1	0	3	1	0	0	0	0	0	0	7	1		0	0	0	0	0	1	2	3	0	0	0	0	0	0	4	2	0	0	0	2	0	1	9	2	0	0	0	0	0	0	36	2
18	20.1.18	הפועל חיפה	עירוני קריית שמונה	16:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	27.1.18	הפועל עכו	הפועל חיפה	16:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	3.2.18	הפועל חיפה	בני סכנין	16:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	10.2.18	הפועל רעננה	הפועל חיפה	16:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	18.2.18	הפועל חיפה	מכבי נתניה	20:30:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	24.2.18	מכבי תל אביב	הפועל חיפה	20:30:00	2	2	1	1	0	2	0	0	2	0	0	0	0	1	0	0	6	5	7	13	2	10	3	9	6	0	1	3	1	6	1	2	8	6	11	10	2	9	1	7	8	2	4	2	1	6	1	2	3	9	1	5	1	1	0	1	3	0	1	0	1	0	0	0		5	2	5	6	1	3	0	1	5	2	0	3	1	2	0	0	6	4	10	6	1	5	2	2	6	4	3	3	1	3	1	0
24	5.3.18	מכבי חיפה 	הפועל חיפה	21:00:00	1	3	1	0	1	7	0	0	1	4	1	0	0	1	0	0	9	11	1	1	15	8	2	5	9	3	0	0	3	7	0	0	3	8	1	1	5	6	1	3	3	4	0	0	2	2	0	0	1	3	0	0	1	8	1	1	1	1	0	0	0	8	0	0		2	5	1	0	4	8	0	2	2	0	0	0	2	7	0	0	6	8	2	1	4	4	0	2	6	4	0	0	2	8	0	0
25	10.3.18	הפועל חיפה	מ.ס. אשדוד	18:15:00	0	0	0	2	1	4	1	1	0	0	0	2	0	4	0	1	6	3	4	5	5	18	4	1	6	3	1	1	0	8	2	0	5	3	5	13	7	7	5	1	5	2	1	7	0	3	4	0	1	0	3	8	3	3	2	0	1	0	0	1	0	1	1	0		2	0	1	3	4	8	0	1	2	0	0	1	0	1	0	0	4	1	4	5	5	12	5	2	4	0	1	5	0	4	4	0
26	18.3.18	מכבי תל אביב	הפועל חיפה	21:00:00	3	0	0	0	1	2	1	0	3	0	0	0	6	0	0	0	34	16	2	3	15	2	5	6	34	10	0	1	12	0	3	13	14	7	1	2	12	2	2	2	14	2	0	1	18	0	2	13	4	1	0	3	16	3	6	2	4	0	0	0	11	0	3	11		9	7	1	1	7	4	3	1	9	6	0	1	5	0	2	11	3	3	0	3	5	2	2	2	3	1	0	1	6	0	2	11
27	4.4.18	הפועל חיפה	בני יהודה	19:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	8.4.18	הפועל חיפה	מכבי נתניה	20:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	15.4.18	הפועל באר שבע	הפועל חיפה	20:30:00	2	11	0	0	0	0	0	0	2	21	0	0	0	0	0	0	6	25	0	5	0	9	0	0	6	17	0	0	0	7	0	0	6	24	0	7	1	6	0	0	6	23	0	1	3	5	0	0	4	6	0	1	0	6	0	0	4	5	0	0	0	3	0	0		0	15	0	1	0	6	0	0	0	11	0	0	0	1	0	0	0	15	0	1	0	6	0	0	0	11	0	0	0	1	0	0
30	23.4.18	הפועל חיפה	"בית""ר ירושלים"	21:00:00	0	3	1	0	0	0	1	2	0	2	0	0	0	0	1	1	0	71	31	2	2	4	14	17	0	16	22	0	0	0	0	6	0	32	20	1	1	2	2	12	0	14	15	0	1	0	0	8	0	108	26	2	3	0	2	16	0	27	21	0	1	0	1	3		0	15	8	0	0	0	0	3	0	11	8	0	0	0	0	0	0	15	8	0	0	0	0	3	0	11	8	0	0	0	0	0
31	29.4.18	הפועל חיפה	מכבי תל אביב	21:00:00	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	2	4	8	3	0	0	6	0	71	4	5	3	0	0	9	0	16	6	2	2	0	0	3	0	32	6	1	3	0	0	7	0	14	2	1	2	1	0	0	0	108	2	0	1	3	0	0	0	27		0	2	1	0	0	1	0	15	0	4	0	0	0	1	0	11	0	2	1	0	0	1	0	15	0	4	0	0	0	1	0	11
32	5.5.18	הפועל חיפה	בני יהודה	18:00:00	0	0	0	1	2	0	1	0	0	0	0	0	4	0	1	0	2	12	1	7	8	1	31	0	2	1	0	0	8	0	19	0	2	2	3	8	7	0	12	1	2	1	0	1	9	0	12	0	4	3	2	8	10	1	2	1	4	1	0	1	11	0	1	0		1	3	2	5	1	0	6	1	1	1	0	1	4	0	10	0	1	4	1	5	10	0	8	1	1	3	0	2	15	0	11	0
33	12.5.18	מכבי נתניה	הפועל חיפה	18:00:00	1	3	1	3	1	0	0	0	1	1	3	4	1	0	0	0	2	4	18	119	14	12	14	3	2	2	11	164	2	1	9	1	1	1	23	28	14	5	12	3	1	0	14	61	2	1	7	1	0	0	0	6	15	4	14	10	0	0	0	8	3	0	2	3		1	1	17	31	3	2	1	2	1	1	7	47	0	0	1	1	1	3	17	24	1	1	9	2	1	2	14	43	0	1	6	1
34	15.5.18	הפועל חיפה	הפועל באר שבע	20:15:00	1	2	0	0	4	1	2	1	1	0	0	0	1	3	4	0	0	2	0	1	5	14	121	15	0	0	0	2	3	10	162	4	0	2	1	2	2	23	26	15	0	1	0	0	1	14	58	4	0	1	1	1	0	0	6	13	0	0	0	0	0	0	8	2		1	4	1	1	2	16	30	5	1	1	0	0	1	6	48	0	0	4	1	1	4	17	24	1	0	2	0	0	2	14	43	0
35	21.5.18	ביתר ירושלים	הפועל חיפה	21:00:00	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	8	1	16	18	0	2	2	1	5	0	10	26	0	0	0	0	5	0	6	14	0	1	2	0	2	0	3	18	0	0	1	1	3	0	2	6	0	0	1	1	1	0	0	5	0	0	0		0	0	0	7	5	0	3	4	0	0	0	6	6	0	0	1	0	2	0	6	7	0	1	4	0	3	0	6	13	0	0	2
